 2 H     -5.955E-02 -7.794E-02 -2.493E-01 -4.335E-01 -6.156E-01
 5 He4    3.633E-02  6.174E-02  2.372E-01  4.238E-01  6.104E-01
 9 C12    1.867E-02  1.314E-02  2.731E-03  1.754E-03  9.783E-04
10 C13    4.921E-07  1.304E-05  2.643E-04  1.720E-04  1.462E-04
11 N14    2.197E-05  2.784E-05  7.193E-03  6.619E-03  3.869E-03
12 N15   -1.616E-08 -2.945E-08  1.444E-07  1.042E-07  1.111E-08
13 O16    3.846E-03  2.590E-03  1.761E-03  1.025E-03  2.879E-04
14 O17    9.421E-07  1.143E-06  3.034E-06  3.169E-06  2.054E-06
15 O18   -5.962E-08 -9.562E-08 -2.833E-07 -3.676E-07 -4.544E-07
17 Ne20   1.069E-05  2.318E-05  2.131E-05  1.592E-05  9.851E-06
18 Ne21   1.342E-06  1.914E-06  7.005E-07  3.259E-07  5.785E-08
19 Ne22   3.724E-04  1.177E-04  3.744E-05  1.351E-05  3.071E-07
21 Na23   3.875E-06  3.400E-06  2.532E-05  1.375E-05  1.609E-06
22 Mg24   1.127E-06  8.415E-07  1.519E-06  1.375E-06 -1.088E-05
23 Mg25   6.320E-06  1.094E-05  9.149E-06  9.848E-06  1.683E-05
24 Mg26   8.952E-06  2.417E-05  2.229E-05  1.569E-05  1.107E-05
25 Al26G  6.187E-10  1.510E-09  3.430E-08  2.343E-07  1.473E-06
26 Al27   1.070E-07  4.202E-07  5.640E-07  6.925E-07  1.873E-06
27 Si28   4.875E-08  2.542E-07  4.257E-07  3.458E-07  1.058E-06
28 Si29   2.213E-08  5.959E-08  1.098E-07  7.953E-08  4.866E-08
29 Si30   1.211E-08  4.288E-08  8.859E-08  6.501E-08  4.115E-08
47 G63    1.815E-07  1.492E-07  1.248E-07  1.018E-07  7.646E-08
48 L1     2.043E-08  3.891E-08  3.732E-08  2.687E-08  1.727E-08
